Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Total MPG,Price per HP,MSRP(K)
bmw,1 series m,2011,premium unleaded (required),335.0,6.0,manual,rear wheel drive,2.0,compact,coupe,26,19,3916,46135,22.5,137.71641791044777,46.135
bmw,1 series,2011,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,compact,convertible,28,19,3916,40650,23.5,135.5,40.65
bmw,1 series,2011,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,compact,coupe,28,20,3916,36350,24.0,121.16666666666667,36.35
bmw,1 series,2011,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,compact,coupe,28,18,3916,29450,23.0,128.04347826086956,29.45
bmw,1 series,2011,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,compact,convertible,28,18,3916,34500,23.0,150.0,34.5
bmw,1 series,2012,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,compact,coupe,28,18,3916,31200,23.0,135.65217391304347,31.2
bmw,1 series,2012,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,compact,convertible,26,17,3916,44100,21.5,147.0,44.1
bmw,1 series,2012,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,compact,coupe,28,20,3916,39300,24.0,131.0,39.3
bmw,1 series,2012,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,compact,convertible,28,18,3916,36900,23.0,160.43478260869566,36.9
bmw,1 series,2013,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,compact,convertible,27,18,3916,37200,22.5,161.7391304347826,37.2
bmw,1 series,2013,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,compact,coupe,28,20,3916,39600,24.0,132.0,39.6
bmw,1 series,2013,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,compact,coupe,28,19,3916,31500,23.5,136.95652173913044,31.5
bmw,1 series,2013,premium unleaded (required),300.0,6.0,manual,rear wheel drive,2.0,compact,convertible,28,19,3916,44400,23.5,148.0,44.4
bmw,1 series,2013,premium unleaded (required),230.0,6.0,manual,rear wheel drive,2.0,compact,convertible,28,19,3916,37200,23.5,161.7391304347826,37.2
bmw,1 series,2013,premium unleaded (required),320.0,6.0,manual,rear wheel drive,2.0,compact,convertible,25,18,3916,48250,21.5,150.78125,48.25
bmw,1 series,2013,premium unleaded (required),320.0,6.0,manual,rear wheel drive,2.0,compact,coupe,28,20,3916,43550,24.0,136.09375,43.55
fiat,124 spider,2017,premium unleaded (recommended),160.0,4.0,manual,rear wheel drive,2.0,compact,convertible,35,26,819,27495,30.5,171.84375,27.495
fiat,124 spider,2017,premium unleaded (recommended),160.0,4.0,manual,rear wheel drive,2.0,compact,convertible,35,26,819,24995,30.5,156.21875,24.995
fiat,124 spider,2017,premium unleaded (recommended),160.0,4.0,manual,rear wheel drive,2.0,compact,convertible,35,26,819,28195,30.5,176.21875,28.195
bmw,2 series,2016,premium unleaded (required),240.0,4.0,automatic,rear wheel drive,2.0,compact,coupe,35,23,3916,32850,29.0,136.875,32.85
bmw,2 series,2016,premium unleaded (required),240.0,4.0,automatic,rear wheel drive,2.0,compact,convertible,34,23,3916,38650,28.5,161.04166666666666,38.65
bmw,2 series,2016,premium unleaded (required),320.0,6.0,automatic,rear wheel drive,2.0,compact,convertible,31,20,3916,48750,25.5,152.34375,48.75
bmw,2 series,2016,premium unleaded (required),240.0,4.0,automatic,all wheel drive,2.0,compact,coupe,35,23,3916,34850,29.0,145.20833333333334,34.85
bmw,2 series,2016,premium unleaded (required),240.0,4.0,automatic,all wheel drive,2.0,compact,convertible,34,22,3916,40650,28.0,169.375,40.65
bmw,2 series,2016,premium unleaded (required),320.0,6.0,automatic,rear wheel drive,2.0,compact,coupe,31,20,3916,44150,25.5,137.96875,44.15
bmw,2 series,2016,premium unleaded (required),240.0,4.0,manual,rear wheel drive,2.0,compact,coupe,34,22,3916,32850,28.0,136.875,32.85
bmw,2 series,2016,premium unleaded (required),320.0,6.0,automatic,all wheel drive,2.0,compact,coupe,30,20,3916,46150,25.0,144.21875,46.15
bmw,2 series,2016,premium unleaded (required),320.0,6.0,automatic,rear wheel drive,2.0,compact,convertible,30,20,3916,50750,25.0,158.59375,50.75
bmw,2 series,2017,premium unleaded (recommended),335.0,6.0,automatic,all wheel drive,2.0,compact,coupe,31,21,3916,46450,26.0,138.65671641791045,46.45
bmw,2 series,2017,premium unleaded (recommended),335.0,6.0,automatic,rear wheel drive,2.0,compact,convertible,32,21,3916,49050,26.5,146.4179104477612,49.05
bmw,2 series,2017,premium unleaded (recommended),335.0,6.0,automatic,all wheel drive,2.0,compact,convertible,32,21,3916,51050,26.5,152.38805970149255,51.05
bmw,2 series,2017,premium unleaded (recommended),335.0,6.0,automatic,rear wheel drive,2.0,compact,coupe,32,21,3916,44450,26.5,132.6865671641791,44.45
bmw,2 series,2017,premium unleaded (recommended),248.0,4.0,automatic,rear wheel drive,2.0,compact,convertible,34,23,3916,38950,28.5,157.05645161290323,38.95
bmw,2 series,2017,premium unleaded (recommended),248.0,4.0,automatic,rear wheel drive,2.0,compact,coupe,35,24,3916,33150,29.5,133.66935483870967,33.15
bmw,2 series,2017,premium unleaded (recommended),248.0,4.0,automatic,all wheel drive,2.0,compact,coupe,33,24,3916,35150,28.5,141.73387096774192,35.15
bmw,2 series,2017,premium unleaded (recommended),248.0,4.0,automatic,all wheel drive,2.0,compact,convertible,33,23,3916,40950,28.0,165.1209677419355,40.95
chrysler,200,2015,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,25170,29.5,136.79347826086956,25.17
chrysler,200,2015,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,23950,29.5,130.16304347826087,23.95
chrysler,200,2015,flex-fuel (unleaded/e85),295.0,6.0,automatic,all wheel drive,4.0,midsize,sedan,29,18,1013,29370,23.5,99.55932203389831,29.37
chrysler,200,2015,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,21995,29.5,119.53804347826087,21.995
chrysler,200,2015,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,26625,29.5,144.70108695652175,26.625
chrysler,200,2015,flex-fuel (unleaded/e85),295.0,6.0,automatic,all wheel drive,4.0,midsize,sedan,29,18,1013,30825,23.5,104.49152542372882,30.825
chrysler,200,2016,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,21995,29.5,119.53804347826087,21.995
chrysler,200,2016,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,27795,29.5,151.05978260869566,27.795
chrysler,200,2016,flex-fuel (unleaded/e85),295.0,6.0,automatic,all wheel drive,4.0,midsize,sedan,29,18,1013,31785,23.5,107.7457627118644,31.785
chrysler,200,2016,flex-fuel (unleaded/e85),295.0,6.0,automatic,all wheel drive,4.0,midsize,sedan,29,18,1013,29905,23.5,101.37288135593221,29.905
chrysler,200,2016,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,22490,29.5,122.22826086956522,22.49
chrysler,200,2016,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,27570,29.5,149.83695652173913,27.57
chrysler,200,2016,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,25690,29.5,139.6195652173913,25.69
chrysler,200,2016,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,24490,29.5,133.09782608695653,24.49
chrysler,200,2017,flex-fuel (unleaded/e85),295.0,6.0,automatic,all wheel drive,4.0,midsize,sedan,28,18,1013,29905,23.0,101.37288135593221,29.905
chrysler,200,2017,flex-fuel (unleaded/e85),295.0,6.0,automatic,all wheel drive,4.0,midsize,sedan,28,18,1013,31785,23.0,107.7457627118644,31.785
chrysler,200,2017,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,26685,29.5,145.02717391304347,26.685
chrysler,200,2017,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,22490,29.5,122.22826086956522,22.49
chrysler,200,2017,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,25690,29.5,139.6195652173913,25.69
chrysler,200,2017,flex-fuel (unleaded/e85),295.0,6.0,automatic,all wheel drive,4.0,midsize,sedan,28,18,1013,30900,23.0,104.7457627118644,30.9
chrysler,200,2017,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,27795,29.5,151.05978260869566,27.795
chrysler,200,2017,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,21995,29.5,119.53804347826087,21.995
chrysler,200,2017,flex-fuel (unleaded/e85),184.0,4.0,automatic,front wheel drive,4.0,midsize,sedan,36,23,1013,24490,29.5,133.09782608695653,24.49
nissan,200sx,1996,regular unleaded,115.0,4.0,manual,front wheel drive,2.0,compact,coupe,36,26,2009,2000,31.0,17.391304347826086,2.0
nissan,200sx,1996,regular unleaded,140.0,4.0,manual,front wheel drive,2.0,compact,coupe,29,21,2009,2000,25.0,14.285714285714286,2.0
nissan,200sx,1997,regular unleaded,140.0,4.0,manual,front wheel drive,2.0,compact,coupe,29,21,2009,2000,25.0,14.285714285714286,2.0
nissan,200sx,1997,regular unleaded,115.0,4.0,manual,front wheel drive,2.0,compact,coupe,35,25,2009,2000,30.0,17.391304347826086,2.0
nissan,200sx,1998,regular unleaded,115.0,4.0,manual,front wheel drive,2.0,compact,coupe,35,25,2009,2000,30.0,17.391304347826086,2.0
nissan,200sx,1998,regular unleaded,140.0,4.0,manual,front wheel drive,2.0,compact,coupe,28,20,2009,2073,24.0,14.807142857142857,2.073
nissan,240sx,1996,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,compact,coupe,26,19,2009,3713,22.5,23.954838709677418,3.713
